id	cat_url	cod	cod_n	stat	stat_n
c1637	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362658	^^^	^^^	^^^	^^^
c1638	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362659	^^^	^^^	^^^	^^^
c1639	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362660	^^^	^^^	^^^	^^^
c1640	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362661	^^^	^^^	^^^	^^^
c1641	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362662	^^^	^^^	^^^	^^^
c1642	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362663	^^^	^^^	^^^	^^^
c1643	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362665	^^^	^^^	^^^	^^^
c1644	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362666	^^^	^^^	^^^	^^^
c1645	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362667	^^^	^^^	^^^	^^^
c1646	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362668	^^^	^^^	^^^	^^^
c1647	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362669	^^^	^^^	^^^	^^^
c1648	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362709	^^^	^^^	^^^	^^^
c1649	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364753	^^^	^^^	^^^	^^^
c1650	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364762	^^^	^^^	^^^	^^^
c1651	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364763	^^^	^^^	^^^	^^^
c1652	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364764	^^^	^^^	^^^	^^^
c1653	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364765	^^^	^^^	^^^	^^^
c1654	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364766	^^^	^^^	^^^	^^^
c1655	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364767	^^^	^^^	^^^	^^^
c1656	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364768	^^^	^^^	^^^	^^^
c1657	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364769	^^^	^^^	^^^	^^^
c1658	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364770	^^^	^^^	^^^	^^^
c1659	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364771	^^^	^^^	^^^	^^^
c1660	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364754	^^^	^^^	^^^	^^^
c1661	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364772	^^^	^^^	^^^	^^^
c1662	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364773	^^^	^^^	^^^	^^^
c1663	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364774	^^^	^^^	^^^	^^^
c1664	http://pares.mcu.es/ParesBusquedas20/catalogo/description/364775	^^^	^^^	^^^	^^^
